symbol,name
NSE:INDOTECH-EQ,INDO TECH TRANSFORM LTD.
NSE:LANDMARK-EQ,LANDMARK CARS LIMITED
NSE:MARINE-EQ,MARINE ELECTRICAL (I) LTD
NSE:M&MFIN-EQ,M&M FIN. SERVICES LTD
NSE:AFSL-EQ,ABANS FINANCIAL SRVCS LTD
NSE:BLKASHYAP-EQ,B.L.KASHYAP & SON LTD
NSE:NITCO-EQ,NITCO LIMITED
NSE:CENTURYPLY-EQ,CENTURY PLYBOARDS (I) LTD
NSE:KEI-EQ,KEI INDUSTRIES LTD.
NSE:HDFCBANK-EQ,HDFC BANK LTD
NSE:SOLARINDS-EQ,SOLAR INDUSTRIES (I) LTD
NSE:GALLANTT-EQ,GALLANTT ISPAT LIMITED
NSE:VAKRANGEE-EQ,VAKRANGEE LIMITED
NSE:MALUPAPER-EQ,MALU PAPER MILLS LIMITED
NSE:KFINTECH-EQ,KFIN TECHNOLOGIES LIMITED
NSE:HEG-EQ,HEG LTD
NSE:SGL-EQ,STL GLOBAL LIMITED
NSE:UTTAMSUGAR-EQ,UTTAM SUGAR MILLS LTD.
NSE:SDBL-EQ,SOM DIST & BREW LTD
NSE:KKCL-EQ,KEWAL KIRAN CLOTHING LTD
NSE:BHAGERIA-EQ,BHAGERIA INDUSTRIES LTD
NSE:SUNTV-EQ,SUN TV NETWORK LIMITED
NSE:GPIL-EQ,GODAWARI POW & ISP LTD
NSE:RSYSTEMS-EQ,R SYS INTERNATIONAL LTD
NSE:ELIN-EQ,ELIN ELECTRONICS LIMITED
NSE:KELLTONTEC-EQ,KELLTON TECH SOL LTD
NSE:LOKESHMACH-EQ,LOKESH MACHINES LTD
NSE:BALPHARMA-EQ,BAL PHARMA LTD.
NSE:RATNAMANI-EQ,RATNAMANI MET & TUB LTD.
NSE:KAMDHENU-EQ,KAMDHENU LIMITED
NSE:PIONEEREMB-EQ,PIONEER EMBROIDERIES LTD
NSE:HEROMOTOCO-EQ,HERO MOTOCORP LIMITED
NSE:JKLAKSHMI-EQ,JK LAKSHMI CEMENT LTD
NSE:PFOCUS-EQ,PRIME FOCUS LIMITED
NSE:ALLCARGO-EQ,ALLCARGO LOGISTICS LTD
